,0
0,-0.5820813253012048
1,-0.5794563253012037
2,-0.5798729919678716
3,-0.5813729919678716
4,-0.5866229919678715
5,-0.5919563253012048
6,-0.5985396586345384
7,-0.6003313253012047
8,-0.602289658634538
9,-0.603331325301205
10,-0.6082479919678715
11,-0.6144146586345385
12,-0.6190396586345381
13,-0.6227063253012047
14,-0.6265396586345382
15,-0.6296646586345378
16,-0.6377063253012051
17,-0.6448729919678716
18,-0.6481229919678718
19,-0.649831325301205
20,-0.6494563253012049
21,-0.649914658634538
22,-0.6497063253012044
23,-0.6449979919678716
24,-0.6337896586345381
25,-0.617164658634538
26,-0.601039658634538
27,-0.592956325301205
28,-0.5845396586345382
29,-0.5769146586345383
30,-0.5702063253012046
31,-0.5615396586345379
32,-0.5619146586345374
33,-0.5594146586345381
34,-0.5544146586345378
35,-0.5543313253012041
36,-0.5496646586345385
37,-0.5447063253012047
38,-0.5468313253012058
39,-0.5465813253012048
40,-0.5451646586345377
41,-0.5469146586345391
42,-0.5463729919678717
43,-0.5422063253012047
44,-0.5428729919678708
45,-0.5432479919678718
46,-0.5460396586345386
47,-0.5533313253012049
48,-0.5553729919678719
49,-0.5572063253012043
50,-0.5575813253012049
51,-0.5588313253012054
52,-0.5579979919678705
53,-0.5572063253012043
54,-0.5587063253012058
55,-0.5586229919678716
56,-0.5580813253012049
57,-0.5586229919678714
58,-0.5640396586345382
59,-0.5693729919678712
60,-0.5746646586345386
61,-0.5781229919678706
62,-0.5774146586345381
63,-0.5775396586345385
64,-0.5740813253012045
65,-0.5659563253012044
66,-0.5580813253012049
67,-0.5531646586345376
68,-0.5476229919678716
69,-0.5453729919678718
70,-0.5432063253012056
71,-0.5431646586345378
72,-0.5430396586345388
73,-0.5374563253012059
74,-0.5359563253012052
75,-0.5359146586345374
76,-0.5396646586345384
77,-0.5497479919678717
78,-0.5604563253012055
79,-0.5687479919678715
80,-0.5754979919678692
81,-0.5739979919678714
82,-0.580622991967873
83,-0.5874979919678719
84,-0.5917479919678718
85,-0.5943313253012044
86,-0.5989563253012045
87,-0.6031646586345383
88,-0.6092896586345377
89,-0.6159563253012058
90,-0.620081325301205
91,-0.6191646586345374
92,-0.6092896586345375
93,-0.6021229919678726
94,-0.604039658634539
95,-0.60624799196787
96,-0.6102063253012051
97,-0.6102063253012051
98,-0.601664658634538
99,-0.5953729919678722
100,-0.590872991967871
101,-0.5856229919678727
102,-0.5823729919678715
103,-0.5811646586345397
104,-0.5760396586345383
105,-0.5708313253012052
106,-0.5572479919678712
107,-0.5434563253012036
108,-0.5330813253012043
109,-0.5246646586345376
110,-0.5161229919678728
111,-0.5114563253012028
112,-0.5080813253012069
113,-0.5023729919678717
114,-0.49353965863453986
115,-0.476872991967872
116,-0.46678965863453886
117,-0.4560813253012047
118,-0.44445632530120577
119,-0.43058132530120474
120,-0.40387299196787013
121,-0.3177896586345371
122,-0.23158132530120323
123,-0.12591465863453782
124,-0.07028965863453814
125,-0.03870632530120465
126,-0.017289658634538248
127,0.0019603413654613725
128,0.024960341365462716
129,0.0457520080321286
130,0.061710341365461704
131,0.0727936746987953
132,0.08471034136546002
